SITE_NO,area_sqkm,missing_data,huc6,huc8,huc6_ts_max,huc6_ts_med,huc6_tts_max,huc6_tts_med,huc8_ts_max,huc8_ts_med,huc8_tts_max,huc8_tts_med
12387450,39.626847,0.668331668,170102,17010212,0.633,0.42,0.565,0.333,0.686,0.444,0.596,0.4285
12381400,145.03944,0.135864136,170102,17010212,0.714,-0.015,0.855,-0.6025,0.66,-0.013,0.778,0.077
12388400,60.605766,0.519480519,170102,17010212,0.613,0.421,0.727,0.511,0.603,0.415,0.625,0.469
12388200,984.1962,0.519480519,170102,17010212,0.628,0.476,0.697,0.596,0.595,0.433,0.589,0.416
12377150,32.115876,0.135864136,170102,17010212,0.816,0.783,0.823,0.751,0.808,0.753,0.81,0.7005
12388700,22778.96205,0.135864136,170102,17010212,0.636,0.583,0.697,0.5905,0.612,0.513,0.627,0.5265
12375900,19.6062243,0.135864136,170102,17010212,0.812,0.7745,0.777,0.709,0.795,0.752,0.781,0.66
12372000,18378.56904,0.135864136,170102,17010212,0.618,0.565,0.703,0.576,0.595,0.503,0.605,0.512
12374250,50.763804,0.135864136,170102,17010212,0.475,0.341,0.532,0.3355,0.438,0.386,0.455,0.268
12389000,51691.02042,0.123876124,170102,17010213,0.697,0.666,0.755,0.648,0.671,0.601,0.711,0.615
12390700,471.37818,0.123876124,170102,17010213,0.598,0.517,0.603,0.522,0.604,0.557,0.697,0.541
12389500,1662.77358,0.123876124,170102,17010213,0.621,0.535,0.604,0.503,0.652,0.587,0.695,0.543
12391400,56547.25167,0.324675325,170102,17010213,0.655,0.572,0.741,0.604,0.647,0.552,0.748,0.665
12391950,,0.123876124,170102,17010213,0.708,0.678,0.752,0.661,0.696,0.634,0.722,0.634
12392000,57168.84927,0.324675325,170102,17010213,0.665,0.579,0.744,0.6105,0.657,0.56,0.756,0.673
12392155,298.366848,0.123876124,170102,17010213,0.581,0.4535,0.609,0.473,0.57,0.506,0.666,0.563
12395000,2336.17098,0.163836164,170102,17010215,0.654,0.579,0.7,0.589,0.655,0.538,0.68,0.539
12394000,1582.48389,0.717282717,170102,17010215,0.594,0.317,0.657,0.446,0.593,0.358,0.49,0.232
12395500,62677.758,0.140859141,170102,17010216,0.621,0.583,0.693,0.5625,0.596,0.515,0.628,0.498
12396500,64490.751,0.140859141,170102,17010216,0.625,0.586,0.693,0.573,0.6,0.514,0.625,0.503
12397100,133.384485,0.278721279,170102,17010216,0.08,0.001,0.461,0.257,0.068,-0.028,0.421,0.2555
12398000,367.77858,0.787212787,170102,17010216,0.187,-0.5065,0.563,0.231,0.171,-1.163,0.656,0.321
12398600,65267.748,0.140859141,170102,17010216,0.624,0.585,0.696,0.568,0.601,0.524,0.611,0.496
